Ratio,Total Runoff,Peak Runoff,Red_Total,Red_Peak
0,40031.85954859179,2.3019635702219814,0.0,0.0
1,39910.05404390172,2.265032411157764,0.30427141297850735,1.6043329069997392
2,39788.26361886059,2.2283959285295603,0.6085051568376798,3.1958647236683624
3,39666.48794362718,2.1920542332560466,0.9127020555243281,4.774590631568332
4,39544.731475347806,2.1560081339516795,1.2168509750407508,6.340475503538368
5,39422.99396023627,2.120257682628879,1.5209525493474985,7.8935170800978565
6,39301.27711754348,2.120883190043472,1.825002483738003,7.866344303661044
7,39179.5831959087,2.121451176186339,2.1289951610880653,7.841670318798122
8,39057.91320199235,2.1216308093373675,2.432928066749529,7.833866843827774
9,38936.25295120118,2.1214228789100273,2.7368366339833194,7.8428995857021455
10,38814.58593523706,2.1208272828297248,3.040762100689254,7.86877297866141
11,38692.98910284763,2.119844294669798,3.344512248098308,7.91147513835857
12,38571.38514817732,2.11847425117162,3.648280187038777,7.97099143635307
13,38449.99965102886,2.116717283221595,3.951502416825836,8.047316186785824
14,38328.67698367695,2.1145747115664317,4.254567697129996,8.140392014869269
15,38207.40555431481,2.11204659739148,4.557504984404748,8.250216262639952
16,38086.192327859135,2.1091336053699243,4.860296880215998,8.376760055914446
17,37965.041273682524,2.1058365015217566,5.162933469029851,8.519990117884968
18,37843.69982231846,2.102096123573644,5.466045671991038,8.68247652716171
19,37722.60506706945,2.0980131277942355,5.768541625500312,8.859846657263937
20,37600.01565678274,2.0935471094826807,6.074771242782784,9.053855735831773
21,37478.6850537267,2.08869861388078,6.377856346558108,9.264480076921288
22,37357.69711587418,2.083487026752263,6.680085469104025,9.49087754019715
23,37236.593993509065,2.07788383600722,6.982602323756049,9.734286724318286
24,37113.99904805599,2.071567893178923,7.288845767941443,10.008658695708238
25,36992.51025659379,2.065098032619275,7.592326027994655,10.289717034047808
26,36871.041540984144,2.058242877012572,7.895756138360143,10.587513041568563
27,36749.58996516155,2.051001994175589,8.199143433359957,10.902065492817158
28,36628.148083219225,2.0433741663454827,8.502506512946384,11.233427288841181
29,36506.68239155689,2.035353270872633,8.80592906946015,11.581864404728126
30,36385.192140779385,2.0269388176016667,9.1094129748981,11.947398133402853
31,36263.65243984181,2.0181279742073204,9.41302040734836,12.330151514399956
32,36143.39066783196,2.0090509545820385,9.713435560094075,12.724467903360303
33,36022.3028251265,1.999505621382964,10.015914245997937,13.139128383767208
34,35901.20981503118,1.9895699091731058,10.318405840095224,13.570747386708248
35,35780.12245279873,1.9792445098497267,10.620883325772523,14.019294855354058
36,35658.144964613675,1.968529527385337,10.925584355303751,14.484766273016692
37,35533.35109390733,1.957424588195028,11.237320737559154,14.967177868663184
38,35408.51384425747,1.945929495870956,11.549165480864998,15.46653817448086
39,35283.51567138151,1.9393375795556032,11.861412212057276,15.752898758141932
40,35158.552483218664,1.9459861404422494,12.173571551073636,15.464077467803051
41,35033.56332898693,1.952629737561006,12.485795753599183,15.175471809368757
42,34908.595771671804,1.959269288698643,12.797966006803218,14.887041913104305
43,34783.78458751949,1.9659074084196895,13.109745638226066,14.598674199257012
44,34658.76252296051,1.9725466248186407,13.422052051090116,14.310258844434042
45,34533.714083140374,1.979154345777066,13.734424349629858,14.02321168852323
46,34407.48939607487,1.9855765935257033,14.049734925977909,13.744221706591498
47,34281.99325242158,1.992106270121048,14.363225593332396,13.460564889437132
48,34156.50095690616,1.9986301881605468,14.676706647998595,13.177158230709264
49,34030.9857272622,2.005144777509247,14.99024499235555,12.894156821261593
50,33905.44679027736,2.0116498346560028,15.303842557895708,12.6115695018572
51,33779.879476708746,2.018145221899329,15.617511008436214,12.32940225441027
52,33654.28391758349,2.024630982528428,15.931250016669907,12.047653198387053
53,33528.666504581226,2.0311070355545855,16.245043616114828,11.766325852032356
54,33403.08231359483,2.037573023940962,16.558754226619843,11.485435725445637
55,33277.52941906348,2.0440273338333173,16.872386658255824,11.20505292634979
56,33151.90164589331,2.0504746237779488,17.186206137507543,10.92497508202448
57,33026.35268069193,2.056913866249402,17.499828753636535,10.645246829381783
58,32901.781729639246,2.0633307538585433,17.811008280287,10.366489698202585
59,32776.429208029745,2.069755822123529,18.12414017828775,10.087377189729384
60,32651.087545043414,2.076177586528448,18.437244951335295,9.808408204816232
61,32525.817732342402,2.0826090598018236,18.75017024162553,9.529017455259082
62,32400.81238154488,2.0890545741600457,19.062434903340254,9.249016744491945
63,32274.57126601867,2.095362285237327,19.377786518153396,8.975002370030193
64,32148.882479156655,2.1016597669651467,19.69175841023961,8.701432370518326
