Ratio,Total Runoff,Peak Runoff,Red_Total,Red_Peak
0,40031.85954859179,2.3019635702219814,0.0,0.0
1,39990.975593288196,2.274312934936914,0.1021285440262143,1.2011760586810971
2,39949.920832199445,2.246882140155748,0.2046837626737963,2.392801987779569
3,39908.77997466847,2.2196713567842496,0.3074540511262658,3.574870362948279
4,39867.67869320116,2.1926812699682947,0.4101254781615715,4.747351420646007
5,39826.6915022716,2.165911992220185,0.5125119058512762,5.910240273206268
6,39785.73050336742,2.139363790701279,0.6148329055901347,7.0635253148260135
7,39744.79794597566,2.1332933562837577,0.7170828581362421,7.327232112624548
8,39703.8959376884,2.1366267783356556,0.8192564987027362,7.182424345246352
9,39663.00809457527,2.139937656895833,0.9213947545174572,7.0385958936145965
10,39622.11900921571,2.1432262096966346,1.0235361134766308,6.895737299180615
11,39581.30563115998,2.146492686739045,1.1254883548062922,6.753837701608112
12,39540.4906553453,2.1497374022021876,1.227444587354376,6.612883452587148
13,39499.720529752776,2.1529607661848793,1.329288783582705,6.472856736943655
14,39459.00394215057,2.1561631922975866,1.4309992413564232,6.333739586953369
15,39418.339325634035,2.1593452556246104,1.532579874819573,6.195507020279134
16,39377.733789849364,2.162507601201205,1.6340129240022705,6.058131015832213
17,39337.19314681007,2.1656509780780184,1.7352838704345452,5.921579033973079
18,39296.465179729064,2.16871637676433,1.837022754264217,5.788414516255891
19,39255.98616811988,2.171803873222715,1.9381397447453819,5.654290045376986
20,39214.0155326731,2.174873424442807,2.0429828270304817,5.5209451367173035
21,39173.30765836782,2.1779255745263333,2.144671518898178,5.388356153858986
22,39132.947578305335,2.1809781745813095,2.2454914171432194,5.255747623712614
23,39092.475330653106,2.1840050108639604,2.3465915111898106,5.124258302082774
24,39050.51585213902,2.1866841260475574,2.4514067233414205,5.007874393221067
25,39009.66718794972,2.189574310940294,2.55344710979839,4.8823213683981015
26,38968.84372239934,2.1924442329436777,2.6554245497942275,4.7576485872772745
27,38928.043673161395,2.195293742740633,2.7573434955989296,4.633862536367683
28,38887.25745898261,2.198120963646331,2.859227881282478,4.511044741061509
29,38846.45272917611,2.2009202923792883,2.961158519195939,4.3894386144846536
