Ratio,Total Runoff,Peak Runoff,Red_Total,Red_Peak
0,40031.85954859179,2.3019635702219814,0.0,0.0
1,39961.527146175475,2.3025601367126334,0.17569107008617024,0.0
2,39891.20255438789,2.303152804526534,0.35136262914083893,0.0
3,39820.886185850104,2.3037418306902913,0.527013646432295,0.0
4,39750.58115951093,2.3043274283271837,0.7026363307940597,0.0
5,39680.28796161683,2.3049098144797657,0.8782294675774738,0.0
6,39610.00835706281,2.305489177725754,1.0537886480564862,0.0
7,39539.7446462285,2.3060656854852586,1.2293081258589744,0.0
8,39469.49857794774,2.306639490686481,1.4047835323798497,0.0
9,39399.25462979873,2.3072106990520833,1.580253642789664,0.0
10,39328.9970357761,2.3077794135500853,1.7557578407331742,0.0
11,39258.802793570496,2.30834570032754,1.931103785181243,0.0
12,39188.594646297395,2.308909592704507,2.106484464632019,0.0
13,39118.41868297053,2.3094710939543965,2.2817847482515807,0.0
14,39048.284453882836,2.310030140840651,2.4569807793092036,0.0
15,38978.19003330467,2.310586641871352,2.6320773682974807,0.0
16,38908.142579181505,2.3111404376882763,2.8070566345944736,0.0
17,38838.147951848165,2.311691297648944,2.981903939023034,0.0
18,38767.95357543455,2.3122389139224793,3.157250218724106,0.0
19,38697.99659285922,2.312782855890192,3.3320034861570424,0.0
20,38626.536065599066,2.31332259576919,3.5105126237938156,0.0
21,38556.326427012165,2.313857456399735,3.685897028561913,0.0
22,38486.45235068728,2.314464837598892,3.860443195322094,0.0
23,38416.454738888504,2.31501520373967,4.035297954976247,0.0
24,38344.95816890528,2.3155597264481558,4.213897127708755,0.0
25,38274.56073429524,2.3160978315592837,4.389750648888768,0.0
26,38204.17686773087,2.316628603672278,4.565570276950104,0.0
27,38133.80442694966,2.3171507697071987,4.7413613632867,0.0
28,38063.43469548393,2.317662633507247,4.917145681725166,0.0
29,37993.03496157893,2.3181617061366318,5.093004946567814,0.0
30,37922.60496313023,2.3186457436002437,5.2689398125542635,0.0
31,37852.11990560711,2.3191116267241223,5.44501221667919,0.0
32,37782.907949729735,2.319927501789048,5.61790439969998,0.0
33,37712.86381281919,2.3205064762083456,5.792875379565466,0.0
34,37642.80967516502,2.3210771013864515,5.967871341392151,0.0
35,37572.75577690326,2.3216415323515087,6.142866705214145,0.0
36,37502.706499307686,2.322201284325109,6.317850526564095,0.0
37,37432.66821234714,2.3227574110087352,6.492806893193858,0.0
38,37362.6421163879,2.3233105916764263,6.667732806576021,0.0
39,37292.52088595155,2.3238612560351672,6.84289636686789,0.0
40,37222.49737418978,2.324409231214635,7.017815824897989,0.0
41,37152.507644930134,2.324951805987709,7.192650893887698,0.0
42,37082.58422560537,2.3254951861419726,7.367320319972903,0.0
43,37012.97593612042,2.3260361555400353,7.541202548452608,0.0
44,36942.98476429978,2.3265799831365395,7.716041220974635,0.0
45,36873.121794860046,2.327129801171869,7.890559642620598,0.0
46,36802.10318241728,2.3276764885758037,8.067964872463996,0.0
47,36731.858579143714,2.328219698165407,8.243436619381727,0.0
48,36661.646475245616,2.327060479361712,8.418827182522747,0.0
49,36591.43873558536,2.320228119113688,8.594206843752417,0.0
50,36521.23257458533,2.313091665406544,8.769582561472477,0.0
51,36451.02139901353,2.3056506908918943,8.94497080564478,0.0
52,36380.80427521124,2.297904779308029,9.12037390855851,0.17631864233024208
53,36310.58420570043,2.2898548595519435,9.295784369882632,0.5260166071555328
54,36240.40216350952,2.2815120313887505,9.471099838567564,0.8884388570605695
55,36170.26772046036,2.2728799066625256,9.646296404103138,1.2634284892984349
56,36100.07384954107,2.263927935996295,9.821641421074156,1.65231260466987
57,36029.97104983107,2.2546938848507367,9.996758941220607,2.0534506272263164
58,35960.83166483064,2.245415270092631,10.169469841438715,2.4565245454295948
59,35890.9338117857,2.235617892647131,10.344075402691999,2.8821341238016496
60,35821.04237586195,2.225511277331584,10.518664933910028,3.3211773582943804
61,35751.21778935993,2.215090180444154,10.693087474579832,3.7738820414716767
62,35681.66266879518,2.2043978892579283,10.866836886545883,4.23836772337125
63,35610.875655446915,2.193318729056568,11.043663579451168,4.719659449473235
64,35540.6182926535,2.1820530745740028,11.21916719978171,5.209052706095408
65,35470.2841720282,2.1704431479375326,11.394862561971731,5.713401549259367
66,35399.991525207704,2.1585278705101527,11.570454322167556,6.231015189262834
67,35329.99781562751,2.1463867574536604,11.745299334039249,6.758439394126404
68,35259.792309146724,2.14649707081014,11.92067341676346,6.753647252412842
69,35189.13753142811,2.147038673140378,12.097169783695527,6.730119411345159
70,35119.39929569101,2.147590601722373,12.271376619259723,6.706142985778096
71,35049.5025156856,2.1481598925241903,12.44597950004912,6.681412324998681
72,34979.48579751766,2.1487190754266288,12.620881987611444,6.657120763234969
73,34909.668514756755,2.149323464309483,12.79528628346024,6.630865400610098
74,34839.890332770105,2.1499352792055233,12.969592905169769,6.604287443254275
75,34769.558820213744,2.1504131733939578,13.145281752376548,6.583527158660008
76,34698.64405122135,2.150913079719542,13.322427580204788,6.561810640985655
77,34628.622379569,2.151430059524477,13.497342441622495,6.53935243132403
78,34558.25891486971,2.1519558070813685,13.673111105613444,6.516513340224039
79,34487.91020925009,2.1524981182592144,13.84884290127042,6.492954705984067
80,34417.53235485107,2.153047145028289,14.024647510880406,6.469104338577014
81,34347.18491009165,2.1536215919223523,14.200376156895544,6.444149691097167
82,34277.19211740936,2.1542177809210012,14.375218878346773,6.418250541068849
83,34206.91630230399,2.1547167785586314,14.5507685927438,6.396573497866031
84,34136.592852686765,2.155236021852599,14.726437298645056,6.374016959583473
85,34066.24970118146,2.1557692040357646,14.902155220066915,6.350854899589875
86,33996.03457658403,2.156316207217814,15.07755332894617,6.3270924391788945
87,33925.982887315324,2.156882751703029,15.25254317468061,6.30248108161685
